 # Namespace(batch_size=256, data_dir='cifar-data', dataset='CIFAR10', model='cnn_small', epochs=40, lr_schedule='cyclic', lr_max=0.003, attack='fgsm', eps=10.0, attack_iters=10, pgd_train_n_iters=10, pgd_alpha_train=2.0, fgsm_alpha=1.25, minibatch_replay=1, weight_decay=0.0005, attack_init='zero', fname='plain_cifar10', seed=0, gpu=0, debug=False, half_prec=False, grad_align_cos_lambda=0.0, eval_early_stopped_model=False, eval_iter_freq=50, n_eval_every_k_iter=256, n_layers=1, n_filters_cnn=4, batch_size_eval=256, n_final_eval=1000)
 Epoch,Train loss,Train acc clean,Train acc PGD, Test acc clean,Test acc FGSM,Test acc PGD,Learning Rate, Training time,Time elapsed
 30,2.0082,0.2501,0.2227,0.4297,0.2539,0.2461,0.001282,0.03,552.41
 30,2.0144,0.2409,0.2422,0.4648,0.2891,0.2891,0.001250,0.01,557.76
 31,2.0093,0.2420,0.2383,0.4297,0.2539,0.2461,0.001218,0.01,564.06
 31,2.0078,0.2540,0.2422,0.4336,0.2656,0.2656,0.001186,0.01,567.47
 31,2.0171,0.2434,0.2500,0.4297,0.2617,0.2500,0.001154,0.02,571.02
 32,1.9876,0.2562,0.2383,0.4258,0.2578,0.2383,0.001122,0.04,575.93
 32,2.0101,0.2479,0.2461,0.4414,0.2773,0.2773,0.001090,0.02,581.56
 32,2.0146,0.2472,0.2461,0.4297,0.2578,0.2656,0.001058,0.03,587.25
 32,2.0010,0.2480,0.2305,0.4375,0.2773,0.2656,0.001026,0.02,590.91
 33,1.9964,0.2570,0.2422,0.4453,0.2734,0.2617,0.000994,0.02,594.76
 33,2.0014,0.2487,0.2461,0.4453,0.2578,0.2461,0.000962,0.02,598.92
 33,2.0023,0.2513,0.2461,0.4102,0.2734,0.2695,0.000929,0.01,604.35
 33,2.0069,0.2487,0.2344,0.4375,0.2734,0.2539,0.000897,0.03,609.96
 34,2.0120,0.2443,0.2461,0.4492,0.2930,0.2617,0.000865,0.02,615.04
 34,2.0038,0.2463,0.2266,0.4531,0.2539,0.2383,0.000833,0.01,618.69
 34,2.0025,0.2528,0.2422,0.4375,0.2695,0.2578,0.000801,0.01,622.33
 34,2.0062,0.2490,0.2227,0.4453,0.2617,0.2539,0.000769,0.01,627.50
 35,2.0095,0.2477,0.2266,0.4492,0.2344,0.2383,0.000737,0.01,633.71
 35,1.9962,0.2566,0.2227,0.4297,0.2656,0.2656,0.000705,0.01,639.03
 35,2.0019,0.2482,0.2461,0.4492,0.2500,0.2539,0.000673,0.01,642.82
 35,1.9984,0.2491,0.2461,0.4297,0.2734,0.2695,0.000641,0.01,646.34
 36,1.9959,0.2475,0.2461,0.4570,0.2773,0.2656,0.000609,0.01,651.45
 36,1.9885,0.2545,0.2266,0.4258,0.2656,0.2617,0.000577,0.02,657.06
 36,1.9983,0.2505,0.2383,0.4375,0.2812,0.2734,0.000545,0.02,662.73
 36,2.0040,0.2533,0.2422,0.4531,0.2734,0.2578,0.000513,0.01,666.79
 37,1.9903,0.2452,0.2070,0.4570,0.2539,0.2461,0.000481,0.01,670.89
 37,1.9921,0.2527,0.2461,0.4531,0.2852,0.2695,0.000449,0.02,675.00
 37,2.0083,0.2502,0.2383,0.4414,0.2852,0.2812,0.000417,0.01,680.40
 37,1.9959,0.2546,0.2266,0.4648,0.2344,0.2422,0.000385,0.01,686.25
 38,1.9854,0.2558,0.2070,0.4492,0.2656,0.2578,0.000353,0.02,691.40
 38,1.9922,0.2494,0.2383,0.4570,0.2969,0.2852,0.000321,0.02,695.20
 38,1.9971,0.2517,0.2148,0.4453,0.2656,0.2695,0.000288,0.01,698.86
 38,1.9939,0.2517,0.2383,0.4609,0.2695,0.2656,0.000256,0.01,703.99
 39,1.9957,0.2511,0.2266,0.4414,0.2695,0.2695,0.000224,0.02,710.11
 39,1.9940,0.2519,0.2461,0.4570,0.2773,0.2695,0.000192,0.02,715.48
 39,1.9897,0.2580,0.2500,0.4570,0.2773,0.2734,0.000160,0.02,719.23
 39,1.9860,0.2580,0.2461,0.4531,0.2812,0.2812,0.000128,0.01,722.81
 40,1.9868,0.2579,0.2344,0.4688,0.2734,0.2695,0.000096,0.02,728.11
 40,1.9891,0.2573,0.2383,0.4609,0.2734,0.2617,0.000064,0.02,733.69
 40,1.9911,0.2530,0.2422,0.4531,0.2734,0.2734,0.000032,0.01,738.98
 40,1.9971,0.2519,0.2383,0.4570,0.2773,0.2656,0.000000,0.01,743.14
